"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"219",12,5,3,0,4,0,0,3,0,1,0,0,0,0,0,0,0
"220",5,0,5,0,0,0,1,0,0,4,0,0,0,0,2,0,0
"221",1,4,11,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"222",0,1,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0
"223",4,5,3,0,1,0,0,0,0,0,0,0,0,0,9,0,0
"224",1,6,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"225",1,2,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"226",1,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"227",0,2,12,3,0,0,1,0,0,1,0,0,0,0,1,0,0
"228",0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",0,1,8,1,0,0,0,0,0,2,0,1,0,0,1,0,0
"230",1,1,7,1,0,0,0,0,0,5,0,0,0,0,0,0,0
"231",0,7,9,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"235",4,1,2,0,15,0,0,30,0,0,0,0,0,0,1,0,0
"236",4,7,6,0,11,0,0,16,0,0,0,0,0,0,0,0,1
"237",7,4,5,0,9,0,0,18,0,0,0,0,0,0,0,0,2
"238",19,2,3,0,6,0,0,3,0,1,0,0,0,0,1,0,0
"239",5,1,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0
"240",0,2,2,0,3,0,0,2,0,5,0,0,0,0,1,0,0
"241",4,7,4,0,1,0,0,3,0,1,0,0,0,0,4,0,0
"242",7,4,8,0,0,0,0,2,0,1,0,0,0,0,2,0,0
"243",0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",0,8,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"245",0,3,14,1,0,0,8,0,0,0,0,0,0,0,0,0,0
"246",1,0,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"247",2,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",0,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",1,9,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"250",0,5,2,0,0,0,1,0,0,8,0,0,0,0,0,0,0
"251",2,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"256",0,2,4,0,3,0,0,30,0,0,0,0,0,0,0,0,7
"257",3,4,2,0,7,0,0,17,0,0,0,0,0,0,0,0,13
"258",6,6,5,0,12,0,0,15,0,0,0,0,0,0,0,0,7
"259",3,1,5,0,3,0,0,5,0,1,0,0,0,0,0,0,2
"260",16,0,10,0,5,0,0,3,0,0,0,0,0,0,1,0,0
"261",12,2,8,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"262",3,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",6,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,4,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"265",6,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0
"266",3,4,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"267",2,10,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0
"268",2,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",1,6,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"270",1,9,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"274",0,2,10,0,5,0,0,17,0,0,0,0,0,0,0,0,7
"275",2,0,9,0,0,0,0,21,0,0,0,0,0,0,0,0,16
"276",0,6,4,0,1,0,0,14,0,0,0,0,0,0,0,0,16
"277",1,6,6,0,2,0,0,12,0,0,0,0,0,0,0,0,9
"278",6,9,7,0,6,0,0,11,0,0,0,0,0,0,0,0,3
"279",8,6,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"280",8,2,8,0,1,0,6,0,0,0,0,0,0,0,0,0,0
"281",8,2,5,1,1,0,3,0,0,0,1,0,0,0,0,0,0
"282",6,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",7,6,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"284",2,3,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0
"285",0,4,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",2,5,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0
"287",0,9,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"288",1,3,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0
"289",2,7,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"290",0,4,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"292",2,1,2,0,0,0,0,16,0,0,0,0,0,0,0,0,32
"293",0,9,15,0,5,0,0,3,0,0,0,0,0,0,0,0,29
"294",6,9,7,0,3,0,0,2,0,0,0,0,0,0,0,0,17
"295",3,5,6,0,8,0,0,5,0,0,0,0,0,0,0,0,5
"296",2,1,8,0,1,0,0,3,0,0,0,0,0,0,0,0,3
"297",7,5,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0
"298",7,13,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"299",4,5,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0
"300",9,4,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"301",3,9,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0
"302",5,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"303",0,6,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"304",2,4,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"305",2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"306",1,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"307",1,3,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"308",0,1,4,7,0,0,0,0,0,3,0,0,0,0,0,0,0
"311",3,3,2,0,10,0,0,10,0,2,0,0,0,0,0,0,2
"312",2,13,2,0,6,0,0,6,0,0,0,0,0,0,0,0,4
"313",8,7,2,0,4,0,0,2,0,1,0,0,0,0,0,0,1
"314",0,8,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"315",0,4,8,0,5,0,0,9,0,2,0,0,0,0,0,0,0
"316",0,5,7,0,1,1,2,3,0,5,0,0,1,0,0,0,0
"317",7,8,3,0,2,1,0,3,0,1,0,0,1,0,0,0,0
"318",5,17,2,0,0,1,0,1,0,2,0,0,1,0,0,0,0
"319",0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"320",5,3,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0
"321",5,1,2,3,0,0,2,0,0,2,0,0,0,0,0,0,0
"322",0,4,7,2,0,0,3,0,0,0,0,0,0,0,1,0,0
"323",0,9,11,1,0,0,6,0,0,0,0,0,0,0,0,0,0
"324",0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"325",0,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"326",0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"327",0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"328",1,2,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0
"329",4,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",1,0,9,0,16,0,0,9,0,0,0,0,0,0,0,0,0
"331",10,6,11,0,6,0,0,4,0,1,0,0,0,0,0,0,0
"332",9,18,4,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"333",5,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"334",2,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"335",9,6,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"336",3,6,1,0,0,0,2,1,0,5,0,0,1,0,0,0,0
"337",10,7,6,0,4,0,1,0,0,0,0,0,2,0,1,0,0
"338",7,13,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"339",3,12,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"340",0,8,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"341",4,3,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0
"342",1,2,13,2,0,0,1,0,0,1,0,0,0,0,1,0,0
"343",0,5,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"344",1,7,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0
